Variable,R2,P_values,MSE,RMSE
ndvi_max,0.5661528530691222,[2.17408858e-03 3.44924515e-05],3652.621285270475,60.43691988569962
ndvi_mean,0.557802568813005,[2.07384105e-03 4.24081582e-05],3598.748155696704,59.98956705708672
gndvi_max,0.6606353989731315,[1.24053936e-04 2.44584847e-06],4262.189807948915,65.28544866927787
gndvi_mean,0.7010685024020454,[2.35498734e-05 6.28850124e-07],4523.050127584119,67.25362538617617
cire_max,0.6048677757517474,[4.20769812e-01 1.25604172e-05],3902.396500358709,62.469164396193975
cire_mean,0.6306173842869658,[1.73165080e-01 6.07854298e-06],4068.5240182423604,63.784982701591765
ndre1_max,0.5761948171408064,[1.64139295e-02 2.67686012e-05],3717.4085446039126,60.97055473426425
ndre1_mean,0.5909538351196028,[9.72445857e-03 1.82481507e-05],3812.6285950316355,61.74648649948947
msi_mean,0.4932723123318489,[0.06908634 0.14828818 0.21306614],1591.2106930934433,39.889982365168365
lluvia_acum,0.016566007450093068,[0.07693465 0.55835475],106.87811797845279,10.338187364255534
etc_acum,0.027100226300024177,[0.06948568 0.45288554],174.84123392208676,13.222754399976079
